province,type_zone,nom_etablissement,type_etablissement,nb_eleves,mois_depuis_derniere_visite,theme,saison,jour,distance_km,budget_mad,risque_logistique,score_engagement
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,757,22,Creation de Jeux Scratch,Ete,Dimanche,115,1101.24,Faible,59
Zagora,Rurale,Collège Al Massira,Collège,570,2,Intelligence Artificielle MVP,Hiver,Mercredi,288,3815.64,Eleve,64
Marrakech,Urbaine,Lycée Victor Hugo,Lycée,781,18,Robotique & Arduino,Ete,Mercredi,42,482.08,Faible,43
Fes,Urbaine,Lycée Moulay Idriss,Lycée,1075,2,Intelligence Artificielle MVP,Automne,Dimanche,36,415.87,Faible,56
Safi,Mixte,Lycée Zerktouni,Lycée,698,1,Robotique & Arduino,Automne,Mercredi,85,737.87,Faible,68
Tinghir,Rurale,Lycée Salah Eddine Al Ayoubi,Lycée,413,14,Robotique & Arduino,Automne,Jeudi,366,4026.15,Moyen,80
Zagora,Rurale,Collège Al Massira,Collège,545,23,Creation de Jeux Scratch,Hiver,Samedi,165,1993.42,Eleve,90
Tata,Rurale,Lycée Hassan Ier,Lycée,334,8,Robotique & Arduino,Printemps,Dimanche,444,4314.21,Moyen,88
Fes,Urbaine,Lycée Ibn Al Khatib,Lycée,889,14,Intelligence Artificielle MVP,Automne,Dimanche,38,392.1,Faible,72
Tanger-Assilah,Urbaine,Lycée Moulay Abdelaziz,Lycée,953,2,Initiation Python,Ete,Samedi,22,254.37,Faible,35
Zagora,Rurale,Collège Al Massira,Collège,496,16,Intelligence Artificielle MVP,Hiver,Jeudi,351,6107.66,Eleve,72
Al Hoceima,Rurale,Lycée Mohammed V,Lycée,604,23,Creation de Jeux Scratch,Ete,Vendredi,299,3541.64,Moyen,57
Fes,Urbaine,CPGE Al Khansaa,CPGE,171,23,Initiation Python,Automne,Samedi,50,471.96,Faible,76
Fes,Urbaine,Lycée Moulay Idriss,Lycée,1025,23,Initiation Python,Ete,Samedi,24,245.76,Faible,58
Chefchaouen,Rurale,Collège Al Houria,Collège,586,6,Intelligence Artificielle MVP,Ete,Samedi,166,1352.99,Faible,63
Azilal,Rurale,Collège Demnate,Collège,609,15,Creation de Jeux Scratch,Automne,Jeudi,310,3035.34,Moyen,74
Midelt,Rurale,Collège Ibn Khaldoun,Collège,634,24,Robotique & Arduino,Hiver,Mardi,385,4709.83,Eleve,90
Casablanca,Urbaine,Lycée Al Khawarizmi,Lycée,957,21,Intelligence Artificielle MVP,Automne,Mardi,23,228.88,Faible,66
Settat,Mixte,Collège Al Wahda,Collège,930,10,Intelligence Artificielle MVP,Automne,Vendredi,121,1025.73,Faible,71
Chefchaouen,Rurale,Collège Al Houria,Collège,573,13,Initiation Python,Automne,Lundi,221,2001.93,Faible,76
Tinghir,Rurale,Collège Ibn Sina,Collège,634,15,Initiation Python,Automne,Samedi,374,3431.18,Moyen,82
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,439,15,Creation de Jeux Scratch,Ete,Mercredi,371,3620.56,Moyen,61
Safi,Mixte,Lycée Moulay Ismail,Lycée,627,22,Creation de Jeux Scratch,Ete,Lundi,87,933.95,Faible,57
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,649,9,Initiation Python,Automne,Vendredi,101,1003.4,Faible,76
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Al Imam Malik,Lycée,963,14,Intelligence Artificielle MVP,Printemps,Jeudi,44,410.25,Faible,72
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,896,23,Creation de Jeux Scratch,Printemps,Dimanche,33,277.16,Faible,70
Tinghir,Rurale,Lycée Bamou,Lycée,531,23,Robotique & Arduino,Ete,Dimanche,374,4459.24,Moyen,78
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,878,1,Initiation Python,Ete,Mercredi,41,386.37,Faible,28
Safi,Mixte,Lycée Moulay Ismail,Lycée,602,23,Initiation Python,Printemps,Dimanche,59,508.96,Faible,72
Chefchaouen,Rurale,Collège Al Houria,Collège,558,5,Creation de Jeux Scratch,Hiver,Mercredi,302,3658.83,Eleve,77
